store,product,quantity,price,category,information,Store,Product,Quantity,Price,Category,Information,store 
,,,,,,Burger King,Whopper,10.0,20.0,Fashion,Best Seller,
,,,,,,Burger King,Chicken Fries,20.0,50.0,Sports,Limited Edition,
,,,,,,Burger King,Veggie Burger,30.0,100.0,Food,New Arrival,
,,,,,,Burger King,Coke,40.0,150.0,Accessories,Discounted,
,,,,,,Burger King,Fries,50.0,200.0,Gadgets,Exclusive,
,,,,,,Burger King,Chicken Sandwich,60.0,250.0,Entertainment,Popular,
,,,,,,McDonald's,Big Mac,10.0,20.0,Fashion,Best Seller,
,,,,,,McDonald's,McChicken,20.0,50.0,Sports,Limited Edition,
,,,,,,McDonald's,Filet-O-Fish,30.0,100.0,Food,New Arrival,
,,,,,,McDonald's,French Fries,40.0,150.0,Accessories,Discounted,
,,,,,,McDonald's,Happy Meal,50.0,200.0,Gadgets,Exclusive,
,,,,,,McDonald's,Coke,60.0,250.0,Entertainment,Popular,
,,,,,,Cafe Coffee Day,Espresso,10.0,20.0,Fashion,Best Seller,
,,,,,,Cafe Coffee Day,Cappuccino,20.0,50.0,Sports,Limited Edition,
,,,,,,Cafe Coffee Day,Latte,30.0,100.0,Food,New Arrival,
,,,,,,Cafe Coffee Day,Black Coffee,40.0,150.0,Accessories,Discounted,
,,,,,,Cafe Coffee Day,Iced Coffee,50.0,200.0,Gadgets,Exclusive,
,,,,,,Cafe Coffee Day,Mocha,60.0,250.0,Entertainment,Popular,
,,,,,,Perfume Shop,Floral Perfume,10.0,20.0,Fashion,Best Seller,
,,,,,,Perfume Shop,Citrus Perfume,20.0,50.0,Sports,Limited Edition,
,,,,,,Perfume Shop,Woody Perfume,30.0,100.0,Food,New Arrival,
,,,,,,Perfume Shop,Luxury Cologne,40.0,150.0,Accessories,Discounted,
,,,,,,Perfume Shop,Unisex Perfume,50.0,200.0,Gadgets,Exclusive,
,,,,,,Perfume Shop,Eau de Toilette,60.0,250.0,Entertainment,Popular,
,,,,,,Maintenance Area,Cleaning Supplies,10.0,20.0,Fashion,Best Seller,
,,,,,,Maintenance Area,Spare Parts,20.0,50.0,Sports,Limited Edition,
,,,,,,Maintenance Area,Maintenance Tools,30.0,100.0,Food,New Arrival,
,,,,,,Maintenance Area,Safety Equipment,40.0,150.0,Accessories,Discounted,
,,,,,,Maintenance Area,Wires & Cables,50.0,200.0,Gadgets,Exclusive,
,,,,,,Maintenance Area,Electrical Tools,60.0,250.0,Entertainment,Popular,
,,,,,,Plam,Sunglasses,10.0,20.0,Fashion,Best Seller,
,,,,,,Plam,Wallet,20.0,50.0,Sports,Limited Edition,
,,,,,,Plam,Belts,30.0,100.0,Food,New Arrival,
,,,,,,Plam,Handbag,40.0,150.0,Accessories,Discounted,
,,,,,,Plam,Keychains,50.0,200.0,Gadgets,Exclusive,
,,,,,,Plam,Caps,60.0,250.0,Entertainment,Popular,
,,,,,,Pantaloons,Jeans,10.0,20.0,Fashion,Best Seller,
,,,,,,Pantaloons,Shirts,20.0,50.0,Sports,Limited Edition,
,,,,,,Pantaloons,Dresses,30.0,100.0,Food,New Arrival,
,,,,,,Pantaloons,Sweaters,40.0,150.0,Accessories,Discounted,
,,,,,,Pantaloons,Skirts,50.0,200.0,Gadgets,Exclusive,
,,,,,,Pantaloons,Jackets,60.0,250.0,Entertainment,Popular,
,,,,,,RockClimbing1,Climbing Shoes,10.0,20.0,Fashion,Best Seller,
,,,,,,RockClimbing1,Harness,20.0,50.0,Sports,Limited Edition,
,,,,,,RockClimbing1,Chalk Bag,30.0,100.0,Food,New Arrival,
,,,,,,RockClimbing1,Belay Device,40.0,150.0,Accessories,Discounted,
,,,,,,RockClimbing1,Rope,50.0,200.0,Gadgets,Exclusive,
,,,,,,RockClimbing1,Carabiner,60.0,250.0,Entertainment,Popular,
,,,,,,RockClimbing2,Helmet,10.0,20.0,Fashion,Best Seller,
,,,,,,RockClimbing2,Climbing Gloves,20.0,50.0,Sports,Limited Edition,
,,,,,,RockClimbing2,Climbing Rope,30.0,100.0,Food,New Arrival,
,,,,,,RockClimbing2,Crash Pads,40.0,150.0,Accessories,Discounted,
,,,,,,RockClimbing2,Safety Harness,50.0,200.0,Gadgets,Exclusive,
,,,,,,RockClimbing2,Quickdraws,60.0,250.0,Entertainment,Popular,
,,,,,,ZARA,Designer Dresses,10.0,20.0,Fashion,Best Seller,
,,,,,,ZARA,Fashionable Jackets,20.0,50.0,Sports,Limited Edition,
,,,,,,ZARA,Stylish Trousers,30.0,100.0,Food,New Arrival,
,,,,,,ZARA,Casual Shirts,40.0,150.0,Accessories,Discounted,
,,,,,,ZARA,Accessories,50.0,200.0,Gadgets,Exclusive,
,,,,,,ZARA,High Heels,60.0,250.0,Entertainment,Popular,
,,,,,,Starbucks,Espresso,10.0,20.0,Fashion,Best Seller,
,,,,,,Starbucks,Cappuccino,20.0,50.0,Sports,Limited Edition,
,,,,,,Starbucks,Latte,30.0,100.0,Food,New Arrival,
,,,,,,Starbucks,Frappuccino,40.0,150.0,Accessories,Discounted,
,,,,,,Starbucks,Iced Tea,50.0,200.0,Gadgets,Exclusive,
,,,,,,Starbucks,Hot Chocolate,60.0,250.0,Entertainment,Popular,
,,,,,,Woodland,Leather Boots,10.0,20.0,Fashion,Best Seller,
,,,,,,Woodland,Outdoor Jacket,20.0,50.0,Sports,Limited Edition,
,,,,,,Woodland,Hiking Shoes,30.0,100.0,Food,New Arrival,
,,,,,,Woodland,Cargo Pants,40.0,150.0,Accessories,Discounted,
,,,,,,Woodland,Trekking Gear,50.0,200.0,Gadgets,Exclusive,
,,,,,,Woodland,Backpacks,60.0,250.0,Entertainment,Popular,
,,,,,,KFC,Zinger Burger,10.0,20.0,Fashion,Best Seller,
,,,,,,KFC,Fried Chicken,20.0,50.0,Sports,Limited Edition,
,,,,,,KFC,Chicken Popcorn,30.0,100.0,Food,New Arrival,
,,,,,,KFC,Chicken Wrap,40.0,150.0,Accessories,Discounted,
,,,,,,KFC,Coke,50.0,200.0,Gadgets,Exclusive,
,,,,,,KFC,Fries,60.0,250.0,Entertainment,Popular,
,,,,,,Zodiac,Formal Shirts,10.0,20.0,Fashion,Best Seller,
,,,,,,Zodiac,Neckties,20.0,50.0,Sports,Limited Edition,
,,,,,,Zodiac,Suits,30.0,100.0,Food,New Arrival,
,,,,,,Zodiac,Blazers,40.0,150.0,Accessories,Discounted,
,,,,,,Zodiac,Cufflinks,50.0,200.0,Gadgets,Exclusive,
,,,,,,Zodiac,Dress Pants,60.0,250.0,Entertainment,Popular,
,,,,,,Apple Store,iPhone,10.0,20.0,Fashion,Best Seller,
,,,,,,Apple Store,MacBook,20.0,50.0,Sports,Limited Edition,
,,,,,,Apple Store,iPad,30.0,100.0,Food,New Arrival,
,,,,,,Apple Store,Apple Watch,40.0,150.0,Accessories,Discounted,
,,,,,,Apple Store,AirPods,50.0,200.0,Gadgets,Exclusive,
,,,,,,Apple Store,iMac,60.0,250.0,Entertainment,Popular,
,,,,,,Food Stall,Pizza,10.0,20.0,Fashion,Best Seller,
,,,,,,Food Stall,Burger,20.0,50.0,Sports,Limited Edition,
,,,,,,Food Stall,Sandwich,30.0,100.0,Food,New Arrival,
,,,,,,Food Stall,Pasta,40.0,150.0,Accessories,Discounted,
,,,,,,Food Stall,Cold Drink,50.0,200.0,Gadgets,Exclusive,
,,,,,,Food Stall,Ice Cream,60.0,250.0,Entertainment,Popular,
,,,,,,Atrium,Exhibit Booths,10.0,20.0,Fashion,Best Seller,
,,,,,,Atrium,Info Kiosks,20.0,50.0,Sports,Limited Edition,
,,,,,,Atrium,Display Stands,30.0,100.0,Food,New Arrival,
,,,,,,Atrium,Art Installations,40.0,150.0,Accessories,Discounted,
,,,,,,Atrium,Event Banners,50.0,200.0,Gadgets,Exclusive,
,,,,,,Atrium,Seating Area,60.0,250.0,Entertainment,Popular,
,,,,,,Thriller Room,Horror Props,10.0,20.0,Fashion,Best Seller,
,,,,,,Thriller Room,Scary Costumes,20.0,50.0,Sports,Limited Edition,
,,,,,,Thriller Room,Fog Machines,30.0,100.0,Food,New Arrival,
,,,,,,Thriller Room,Light Effects,40.0,150.0,Accessories,Discounted,
,,,,,,Thriller Room,Animatronics,50.0,200.0,Gadgets,Exclusive,
,,,,,,Thriller Room,Creepy Sounds,60.0,250.0,Entertainment,Popular,
,,,,,,Tanishq,Gold Necklace,10.0,20.0,Fashion,Best Seller,
,,,,,,Tanishq,Diamond Ring,20.0,50.0,Sports,Limited Edition,
,,,,,,Tanishq,Silver Bracelet,30.0,100.0,Food,New Arrival,
,,,,,,Tanishq,Gold Earrings,40.0,150.0,Accessories,Discounted,
,,,,,,Tanishq,Platinum Chain,50.0,200.0,Gadgets,Exclusive,
,,,,,,Tanishq,Jewelry Box,60.0,250.0,Entertainment,Popular,
,,,,,,US Polo,Polo Shirt,10.0,20.0,Fashion,Best Seller,
,,,,,,US Polo,Cap,20.0,50.0,Sports,Limited Edition,
,,,,,,US Polo,Casual Shoes,30.0,100.0,Food,New Arrival,
,,,,,,US Polo,Jacket,40.0,150.0,Accessories,Discounted,
,,,,,,US Polo,Shorts,50.0,200.0,Gadgets,Exclusive,
,,,,,,US Polo,Sweater,60.0,250.0,Entertainment,Popular,
,,,,,,KK Cinemas,Movie Tickets,10.0,20.0,Fashion,Best Seller,
,,,,,,KK Cinemas,Popcorn,20.0,50.0,Sports,Limited Edition,
,,,,,,KK Cinemas,3D Glasses,30.0,100.0,Food,New Arrival,
,,,,,,KK Cinemas,Coke,40.0,150.0,Accessories,Discounted,
,,,,,,KK Cinemas,Nachos,50.0,200.0,Gadgets,Exclusive,
,,,,,,KK Cinemas,Candy,60.0,250.0,Entertainment,Popular,
,,,,,,Fun Land,Arcade Tokens,10.0,20.0,Fashion,Best Seller,
,,,,,,Fun Land,Stuffed Toys,20.0,50.0,Sports,Limited Edition,
,,,,,,Fun Land,Game Cards,30.0,100.0,Food,New Arrival,
,,,,,,Fun Land,Gift Vouchers,40.0,150.0,Accessories,Discounted,
,,,,,,Fun Land,Tickets,50.0,200.0,Gadgets,Exclusive,
,,,,,,Fun Land,Board Games,60.0,250.0,Entertainment,Popular,
,,,,,,Book Tickets,Movie Tickets,10.0,20.0,Fashion,Best Seller,
,,,,,,Book Tickets,Concert Tickets,20.0,50.0,Sports,Limited Edition,
,,,,,,Book Tickets,Event Passes,30.0,100.0,Food,New Arrival,
,,,,,,Book Tickets,Parking Vouchers,40.0,150.0,Accessories,Discounted,
,,,,,,Book Tickets,Gift Cards,50.0,200.0,Gadgets,Exclusive,
,,,,,,Book Tickets,VIP Lounge Pass,60.0,250.0,Entertainment,Popular,
,,,,,,Snacks Counter,Popcorn,10.0,20.0,Fashion,Best Seller,
,,,,,,Snacks Counter,Nachos,20.0,50.0,Sports,Limited Edition,
,,,,,,Snacks Counter,Hotdog,30.0,100.0,Food,New Arrival,
,,,,,,Snacks Counter,Coke,40.0,150.0,Accessories,Discounted,
,,,,,,Snacks Counter,Chips,50.0,200.0,Gadgets,Exclusive,
,,,,,,Snacks Counter,Candy,60.0,250.0,Entertainment,Popular,
puma,running shoes,20,1099.0,sports&fitness,very comfortable best for running,,,,,,,
puma,cricket shoes,12,999.0,sports&fitness,very comfortable best for running,,,,,,,
puma,football,34,899.0,sports&fitness,fifa match ball,,,,,,,
puma,football boots,12,1099.0,sports&fitness,very comfortable best for running,,,,,,,
puma,slides,20,768.0,sports&fitness,very comfortable best for walking,,,,,,,
puma,t-shirt,45,499.0,sports&fitness,comfy wear,,,,,,,
,cold coffee,1 cup,199.0,drinks,best drink spot,,,,,,,starbucks
,ice tea,1 cup,168.0,drinks,best drink spot,,,,,,,starbucks
,bubble tea,1 cup,200.0,drinks,best drink spot,,,,,,,starbucks
,macha latte,1 cup,210.0,drinks,best drink spot,,,,,,,starbucks
,milkshake,1 cup,205.0,drinks,best drink spot,,,,,,,starbucks
